profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
5	5	Moz Art	3	Spicy Day	test	10	3.006277	0.000000	0.416667	1.500000	0.571429	0.000000	0.318182	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	228	Queen Flowers	train	2	3.918254	0.857143	0.000000	0.000000	0.833333	1.250000	0.777778	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	268	Hughes	train	3	3.916234	0.857143	0.000000	0.000000	0.909091	1.250000	0.700000	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	5	Moz Art	train	5	3.713420	0.500000	0.416667	1.500000	0.428571	0.000000	0.318182	0.000000	0.000000	0.350000	0.200000
6	6	Superclass Woman	236	She Walf	train	6	3.666667	0.666667	0.000000	0.000000	0.800000	1.250000	0.750000	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	253	Endless Love	train	8	3.498701	0.857143	0.000000	0.000000	0.714286	1.250000	0.477273	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	257	Baorela	train	9	3.428632	1.333333	0.000000	0.000000	0.923077	0.000000	0.972222	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	131	Champion Man	train	11	3.300649	0.500000	0.000000	0.000000	0.714286	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	70	FOF	train	12	3.200000	0.666667	0.000000	0.000000	0.500000	1.250000	0.583333	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	64	Woman In Love Never Cross	test	1	4.091234	0.857143	0.000000	0.000000	0.909091	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	9	Classic Vintage	test	4	3.898329	0.222222	0.416667	1.500000	0.923077	0.000000	0.636364	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	260	Gravy Glam	test	7	3.657792	0.857143	0.000000	0.000000	0.714286	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
6	6	Superclass Woman	267	The Master	test	10	3.317749	0.857143	0.000000	0.000000	0.533333	1.250000	0.477273	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	3	Spicy Day	train	2	5.103030	1.333333	0.416667	1.500000	0.666667	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
7	7	Black Lax	20	Cloud Grande	train	3	4.336364	0.500000	0.416667	0.000000	1.333333	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
7	7	Black Lax	0	Berrylicious	train	5	4.261310	0.857143	0.416667	1.500000	0.500000	0.000000	0.437500	0.000000	0.000000	0.350000	0.200000
7	7	Black Lax	5	Moz Art	train	6	4.256277	0.000000	0.416667	1.500000	0.571429	1.250000	0.318182	0.000000	0.000000	0.000000	0.200000
